xingbie,nianling,zhufangqingkuang,dingjushijian,xueli,ernvshuliang,hunyingzhuangkuang,renkoushu,jiatingnianshouru,ernvtigongyanglaojin,ernvtigongshenghuofei,jiangkuang,manxingbing,jiankuangyuqi,yiwaiyuqi,yibaoka,yiliaofeiyong,zhengfuyanglaojin,tuixiugongzi,yanglaobaoxian,shourulaiyuan,yanglaojinshue,xiaofeijine,manyi,shenghuomanyi,diqu
0,1,2,4,3,1,1,1,2,0,4,3,0,3,1,1,1,1,1,0,1,2,2,2,3,金华
1,3,4,4,2,2,1,4,1,1,1,4,0,0,1,1,1,0,0,0,2,2,1,4,4,金华
1,4,1,4,1,3,1,1,1,0,4,1,1,0,1,1,2,1,0,1,2,1,1,2,2,金华
0,1,3,4,2,2,1,2,3,0,1,4,0,3,1,1,1,0,0,0,2,1,1,3,4,金华
1,4,2,4,4,2,1,4,4,0,4,4,0,1,1,1,1,1,1,1,3,4,1,4,4,金华
1,4,2,4,1,3,3,2,4,0,3,3,1,1,0,1,1,1,0,1,1,1,1,3,3,金华
1,4,3,1,2,4,1,3,3,0,3,2,1,2,0,1,2,1,1,1,1,3,2,3,3,金华
0,1,3,1,2,1,1,2,2,1,1,2,1,2,1,0,2,1,0,0,1,1,1,2,2,金华
0,4,4,4,1,4,3,4,1,0,1,1,1,1,1,0,3,0,0,0,2,4,4,1,1,金华
1,3,2,4,1,2,1,3,2,0,1,1,1,2,1,1,1,1,0,1,1,3,2,2,2,金华
1,4,1,4,4,2,1,4,4,1,4,4,0,3,1,1,2,1,1,1,1,4,4,4,4,金华
0,4,4,1,4,2,4,2,1,1,1,2,0,3,1,1,2,1,0,0,1,1,1,2,2,金华
1,4,4,4,1,4,3,4,1,1,2,4,1,3,1,1,1,0,0,0,3,1,2,2,2,金华
0,1,2,4,2,2,1,2,1,0,3,2,1,2,1,1,1,1,0,1,2,3,2,2,2,金华
1,4,1,1,4,2,3,3,4,0,4,4,0,3,0,1,1,1,1,1,1,2,2,4,4,金华
0,1,1,2,4,2,1,1,2,0,2,3,0,3,1,1,1,0,1,0,2,3,2,3,3,金华
1,2,2,4,3,2,1,2,2,0,3,3,1,3,1,1,1,1,1,1,1,2,2,4,3,金华
0,1,2,3,1,2,1,2,3,1,2,3,0,3,1,1,1,1,0,1,1,2,2,3,3,金华
1,1,2,4,1,2,1,2,1,0,1,1,1,0,0,0,3,0,0,0,2,1,3,2,2,金华
1,1,2,1,1,2,1,2,1,0,1,1,1,0,0,0,3,0,0,0,2,1,2,2,2,金华
1,1,2,4,2,2,1,2,1,1,2,2,0,2,0,1,2,1,0,0,2,4,2,2,2,金华
1,1,4,4,3,1,1,4,1,0,1,4,0,1,0,1,3,0,0,0,2,1,2,2,2,金华
0,1,4,4,2,1,1,4,1,0,1,4,0,3,0,1,3,0,0,0,2,1,2,3,3,金华
1,1,2,1,2,1,1,2,2,0,2,2,0,0,0,1,1,0,0,0,2,2,3,4,4,金华
1,1,1,4,2,2,1,2,1,1,1,3,0,3,1,0,1,0,0,0,2,1,4,2,2,金华
0,1,2,4,2,2,1,2,1,0,1,2,0,3,1,1,1,0,0,1,2,1,2,3,3,金华
0,1,4,4,2,2,1,2,1,0,1,3,0,0,0,0,2,0,0,0,2,1,2,3,2,金华
1,1,4,4,3,2,4,1,3,0,1,4,0,0,0,1,1,0,0,0,2,1,4,4,2,金华
1,1,2,1,1,1,1,1,2,1,0,3,0,2,0,1,3,0,0,0,2,1,1,2,2,金华
1,1,2,1,1,1,1,2,1,0,1,3,0,2,0,1,3,0,0,0,2,1,1,2,2,金华
1,1,1,3,2,1,1,2,2,0,1,4,0,3,1,1,1,0,0,1,2,1,2,3,3,金华
0,1,1,2,1,1,1,2,2,0,1,4,0,3,1,1,1,1,1,1,2,1,2,3,3,金华
0,1,4,4,1,3,1,3,1,0,1,4,0,3,0,1,1,0,0,0,2,1,3,2,2,金华
0,1,4,4,1,2,1,4,1,0,1,4,0,0,0,1,1,0,0,0,2,1,1,2,2,金华
1,1,4,4,2,3,1,3,1,0,1,4,0,2,0,1,1,0,0,0,2,1,4,3,3,金华
1,3,3,4,1,3,1,2,1,0,1,3,0,3,1,0,1,0,0,0,2,1,1,2,2,金华
1,4,3,2,1,4,1,4,1,1,2,4,0,0,1,1,2,1,1,1,3,1,2,3,3,金华
1,2,3,3,3,4,2,3,3,0,4,3,1,1,0,1,1,0,0,0,1,1,3,2,1,金华
1,2,2,3,3,2,1,2,3,1,2,3,0,0,1,1,3,0,1,0,2,2,2,2,2,金华
1,3,3,4,1,3,1,3,1,0,1,3,0,2,1,0,3,0,0,0,2,1,1,2,2,金华
1,2,3,4,2,3,2,1,2,0,4,1,1,2,0,0,2,1,1,0,3,2,2,2,2,金华
0,1,2,3,1,2,2,1,2,1,2,1,0,3,0,1,3,0,0,1,2,2,2,2,2,金华
1,2,1,4,2,1,1,2,2,0,1,2,0,1,1,1,2,0,0,1,1,2,4,1,1,金华
1,2,1,2,1,4,3,1,1,1,1,2,1,2,1,0,2,0,0,1,1,2,2,1,1,金华
0,1,2,3,3,2,1,1,1,1,2,2,1,3,1,0,2,0,0,0,3,1,2,1,2,金华
1,4,3,4,1,3,1,3,1,0,1,3,0,2,1,0,3,0,0,0,2,1,1,2,2,金华
0,1,2,1,2,2,1,2,2,1,3,3,0,2,1,1,2,1,1,1,1,3,3,2,2,金华
1,2,3,4,3,2,1,4,4,0,3,4,0,2,1,1,2,0,1,1,3,2,1,2,2,金华
1,2,2,3,4,1,1,1,4,0,1,2,1,2,1,1,1,0,1,0,2,4,2,1,2,金华
1,2,1,1,1,2,2,2,1,0,2,3,0,2,1,1,2,0,0,1,3,1,1,1,1,金华
0,3,3,4,2,3,1,3,1,0,1,3,0,2,1,0,3,0,0,0,2,1,2,2,2,金华
1,1,2,2,2,2,1,2,1,1,1,3,1,3,0,0,2,0,0,1,1,2,2,3,3,金华
1,1,1,1,1,1,1,1,2,0,2,3,1,2,0,0,2,0,0,0,2,1,1,1,1,金华
0,3,3,2,1,2,1,3,1,0,1,2,0,0,0,1,3,0,0,1,1,2,3,1,2,金华
0,3,3,4,1,3,1,3,1,0,1,3,0,2,1,0,3,0,0,0,2,1,1,2,2,金华
1,2,3,1,2,3,1,2,3,1,2,2,1,2,1,0,3,0,1,0,1,2,1,3,2,金华
0,2,1,1,2,2,1,2,1,1,2,3,1,2,0,1,2,0,0,0,2,2,4,1,1,金华
1,2,3,4,4,1,1,3,3,1,1,4,0,3,0,1,2,1,1,1,1,1,2,2,2,金华
1,1,2,2,2,2,1,1,1,1,1,1,0,2,0,1,3,0,0,0,2,2,2,1,1,金华
0,2,2,4,1,1,3,2,1,1,1,2,0,0,1,1,2,0,0,1,1,2,2,2,2,金华
1,2,3,4,4,2,1,1,2,0,1,3,0,2,1,1,3,0,1,0,3,1,1,3,3,金华
0,3,2,3,2,3,3,1,2,0,1,3,0,1,1,0,2,0,0,0,2,2,2,2,1,金华
0,2,2,1,1,1,2,3,3,0,1,3,1,3,0,0,2,0,1,1,2,3,3,2,2,金华
0,3,3,4,2,2,1,2,3,0,1,3,1,2,1,1,3,1,1,1,1,3,1,3,3,金华
1,2,3,4,2,1,2,3,1,0,3,4,0,1,1,0,1,0,0,0,3,4,3,1,1,杭州
0,4,2,4,1,3,3,3,1,0,1,3,1,1,1,1,2,1,0,1,1,2,1,2,2,杭州
1,2,2,2,3,1,1,1,3,0,4,4,0,3,1,1,3,1,1,1,2,4,3,3,3,杭州
1,4,1,4,2,2,1,2,3,1,2,3,1,2,1,1,2,1,0,1,1,2,1,2,2,杭州
1,1,1,1,3,2,1,2,2,0,2,3,0,3,1,1,3,0,0,1,2,4,3,3,3,杭州
1,2,3,1,3,4,2,3,2,0,3,3,1,3,0,0,2,0,1,1,3,3,2,2,1,杭州
1,3,3,3,3,3,3,3,3,0,4,4,1,3,0,0,2,0,0,0,2,2,3,1,2,杭州
1,3,3,4,1,2,2,3,2,1,2,1,1,0,0,1,2,1,0,1,3,2,3,2,2,杭州
1,1,1,1,1,1,2,2,2,0,2,2,0,1,0,0,2,0,0,0,3,1,2,1,1,杭州
1,2,3,4,2,3,2,3,1,0,4,4,0,1,0,0,3,0,1,0,1,2,3,3,3,杭州
1,2,3,4,1,2,2,2,3,0,3,4,1,3,0,0,1,0,0,0,2,2,2,2,1,杭州
0,1,3,4,1,2,1,2,3,0,2,4,0,4,0,0,2,1,1,1,2,2,1,4,4,杭州
0,4,2,4,1,4,3,3,3,1,1,1,1,0,0,1,2,1,0,1,2,1,2,2,2,杭州
1,2,2,2,2,3,3,3,3,0,2,2,0,0,1,0,1,0,0,0,2,2,2,2,1,杭州
1,1,1,1,1,1,1,1,2,0,2,3,0,0,0,0,1,0,0,0,3,3,2,1,1,杭州
0,3,4,1,3,1,1,3,2,0,2,2,0,0,1,1,1,0,0,0,2,1,2,4,3,杭州
1,2,3,4,1,2,3,4,1,0,3,1,1,3,1,1,2,0,0,0,1,3,3,1,1,杭州
1,1,1,2,2,2,2,2,1,0,3,2,0,2,1,1,1,0,0,0,2,2,3,2,2,杭州
0,2,3,4,1,2,1,1,2,0,1,3,0,3,1,0,3,0,0,0,2,1,1,2,2,杭州
0,2,3,2,2,2,1,2,4,0,1,3,1,2,1,1,3,0,0,1,2,2,3,1,2,杭州
0,3,4,3,4,3,3,1,2,0,3,1,1,2,1,0,3,0,0,0,1,3,4,4,4,杭州
0,1,3,3,2,2,2,3,4,1,1,2,0,1,0,0,3,1,1,0,2,3,3,2,1,杭州
0,4,2,3,1,1,2,1,2,1,2,3,0,2,0,0,2,0,0,0,1,2,2,1,1,杭州
1,2,3,4,2,1,1,2,3,0,4,4,1,2,0,0,2,1,0,0,1,4,4,3,3,杭州
1,4,4,4,1,3,3,4,2,0,1,1,1,1,1,1,1,1,0,0,3,1,1,2,2,杭州
1,2,3,4,1,2,1,2,3,1,2,3,0,2,1,0,2,0,1,0,3,1,1,2,2,杭州
1,3,3,2,3,2,1,2,4,0,1,2,1,2,1,1,3,0,1,1,2,3,4,1,2,杭州
1,2,1,3,3,3,3,1,2,0,3,4,0,1,0,1,2,0,1,0,1,3,4,3,3,杭州
0,2,2,2,2,1,1,1,1,1,1,2,0,2,0,1,1,0,0,0,3,1,3,2,2,杭州
1,2,3,4,1,2,3,4,1,0,1,3,1,2,1,0,3,0,1,0,1,2,1,3,4,杭州
1,1,4,3,2,1,2,1,3,0,1,4,0,3,1,1,3,0,0,1,2,1,1,3,3,杭州
0,1,3,4,1,2,3,4,1,1,1,3,0,1,0,0,2,0,1,0,1,2,1,2,1,杭州
0,3,3,1,3,3,1,1,1,1,1,2,1,1,1,0,2,0,0,0,2,1,1,1,1,杭州
0,3,2,1,3,4,3,3,1,0,2,3,1,2,1,0,2,1,1,1,3,4,4,4,3,杭州
1,4,3,1,1,3,1,1,2,1,1,2,1,2,1,0,2,0,0,0,2,1,1,1,1,杭州
1,1,1,1,1,2,2,2,1,0,1,3,0,2,1,0,1,0,0,0,3,1,3,1,1,杭州
0,3,3,4,3,1,4,4,4,0,3,2,1,2,1,1,3,0,0,0,2,2,2,3,3,杭州
1,2,3,4,1,2,3,4,1,0,3,1,1,2,1,0,3,0,0,0,1,2,3,1,4,杭州
0,1,1,3,3,3,2,2,1,0,3,4,0,2,1,0,3,1,0,0,2,1,2,3,4,杭州
0,4,2,3,1,1,2,1,3,1,1,2,1,3,1,1,3,1,1,1,1,1,1,4,4,杭州
0,1,3,4,1,1,1,1,1,0,2,3,0,2,0,0,1,0,0,0,2,2,2,2,2,杭州
0,1,3,4,4,4,1,1,3,0,3,1,0,0,1,0,3,1,0,0,3,3,2,2,2,杭州
0,2,3,4,1,1,1,1,1,1,1,4,0,3,1,0,2,0,1,0,1,3,1,4,4,杭州
1,2,2,1,3,1,1,1,2,0,1,2,1,1,1,1,1,0,0,0,2,1,3,1,1,杭州
1,1,4,2,1,4,3,3,1,1,4,2,0,2,0,1,3,1,0,1,3,3,2,1,4,杭州
1,3,3,4,1,3,1,2,1,0,1,3,0,3,1,0,1,0,0,0,2,1,1,2,2,杭州
1,4,3,2,1,4,1,4,1,1,2,4,0,0,1,1,2,1,1,1,3,1,2,3,3,杭州
1,2,3,3,3,4,2,3,3,0,4,3,1,1,0,1,1,0,0,0,1,1,3,2,1,杭州
1,2,2,3,3,2,1,2,3,1,2,3,0,0,1,1,3,0,1,0,2,2,2,2,2,杭州
1,3,3,4,1,3,1,3,1,0,1,3,0,2,1,0,3,0,0,0,2,1,1,2,2,杭州
1,2,3,4,2,3,2,1,2,0,4,1,1,2,0,0,2,1,1,0,3,2,2,2,2,杭州
0,1,2,3,1,2,2,1,2,1,2,1,0,3,0,1,3,0,0,1,2,2,2,2,2,杭州
1,2,1,4,2,1,1,2,2,0,1,2,0,1,1,1,2,0,0,1,1,2,4,1,1,杭州
1,2,1,2,1,4,3,1,1,1,1,2,1,2,1,0,2,0,0,1,1,2,2,1,1,杭州
0,1,2,3,3,2,1,1,1,1,2,2,1,3,1,0,2,0,0,0,3,1,2,1,2,杭州
1,4,3,4,1,3,1,3,1,0,1,3,0,2,1,0,3,0,0,0,2,1,1,2,2,杭州
0,1,2,1,2,2,1,2,2,1,3,3,0,2,1,1,2,1,1,1,1,3,3,2,2,杭州
1,2,3,4,3,2,1,4,4,0,3,4,0,2,1,1,2,0,1,1,3,2,1,2,2,杭州
1,2,2,3,4,1,1,1,4,0,1,2,1,2,1,1,1,0,1,0,2,4,2,1,2,杭州
1,2,1,1,1,2,2,2,1,0,2,3,0,2,1,1,2,0,0,1,3,1,1,1,1,杭州
0,3,3,4,2,3,1,3,1,0,1,3,0,2,1,0,3,0,0,0,2,1,2,2,2,杭州
1,1,2,2,2,2,1,2,1,1,1,3,1,3,0,0,2,0,0,1,1,2,2,3,3,杭州
1,1,1,1,1,1,1,1,2,0,2,3,1,2,0,0,2,0,0,0,2,1,1,1,1,杭州
0,3,3,2,1,2,1,3,1,0,1,2,0,0,0,1,3,0,0,1,1,2,3,1,2,杭州
0,3,3,4,1,3,1,3,1,0,1,3,0,2,1,0,3,0,0,0,2,1,1,2,2,杭州
1,2,3,1,2,3,1,2,3,1,2,2,1,2,1,0,3,0,1,0,1,2,1,3,2,杭州
0,2,1,1,2,2,1,2,1,1,2,3,1,2,0,1,2,0,0,0,2,2,4,1,1,杭州
1,2,3,4,4,1,1,3,3,1,1,4,0,3,0,1,2,1,1,1,1,1,2,2,2,杭州
1,1,2,2,2,2,1,1,1,1,1,1,0,2,0,1,3,0,0,0,2,2,2,1,1,杭州
0,2,2,4,1,1,3,2,1,1,1,2,0,0,1,1,2,0,0,1,1,2,2,2,2,杭州
1,2,3,4,4,2,1,1,2,0,1,3,0,2,1,1,3,0,1,0,3,1,1,3,3,杭州
0,3,2,3,2,3,3,1,2,0,1,3,0,1,1,0,2,0,0,0,2,2,2,2,1,杭州
0,2,2,1,1,1,2,3,3,0,1,3,1,3,0,0,2,0,1,1,2,3,3,2,2,杭州
0,3,3,4,2,2,1,2,3,0,1,3,1,2,1,1,3,1,1,1,1,3,1,3,3,杭州
1,4,3,4,1,3,1,3,1,0,1,3,1,2,1,0,1,0,0,0,2,1,2,2,2,杭州
1,2,2,2,1,1,1,1,3,0,1,3,1,1,1,0,1,1,1,1,2,1,1,2,2,杭州
0,3,3,4,3,1,1,1,4,0,1,4,0,3,0,1,3,1,1,1,1,3,2,3,3,杭州
1,1,3,1,3,1,1,1,2,0,1,2,1,1,1,1,3,0,0,0,2,1,3,1,1,杭州
0,4,1,2,1,4,3,1,1,0,2,2,1,2,1,1,2,0,0,1,1,2,1,1,3,杭州
0,1,3,4,1,3,3,3,2,0,3,2,0,0,0,1,3,0,0,0,3,2,2,4,2,杭州
0,1,2,4,3,2,1,2,3,0,2,2,0,2,0,1,3,0,1,1,1,4,3,1,2,杭州
1,4,3,1,2,2,3,2,3,1,2,2,1,2,1,1,2,1,1,1,1,3,2,3,3,杭州
1,1,2,4,4,1,1,1,2,1,1,3,0,2,0,1,2,0,0,0,2,1,2,1,2,杭州
1,1,2,2,3,3,4,4,1,0,3,1,1,2,0,1,3,0,1,0,1,1,2,3,3,杭州
0,4,1,4,1,4,3,3,4,1,3,3,1,2,1,1,2,1,0,1,1,2,2,3,3,杭州
0,3,2,4,1,4,3,3,2,1,1,1,1,0,0,1,2,1,0,1,2,1,2,2,1,杭州
1,3,3,2,3,1,1,1,3,1,2,4,0,0,1,1,3,1,1,0,1,1,2,4,4,杭州
0,1,3,4,1,1,1,1,2,0,1,4,0,3,1,0,3,0,0,0,2,1,2,2,2,杭州
1,1,1,4,1,2,1,2,2,1,2,4,0,3,1,1,3,1,1,1,1,1,1,4,4,杭州
0,3,1,2,2,3,1,1,3,0,2,4,0,0,0,0,2,0,0,0,3,1,2,1,2,杭州
0,3,2,2,1,2,2,2,2,0,2,3,0,3,1,1,3,1,1,1,1,1,1,4,4,杭州
1,3,3,4,1,2,2,3,2,1,2,1,1,0,2,1,2,1,0,1,2,1,2,2,2,杭州
1,3,3,1,1,2,1,2,2,0,1,2,1,1,1,1,3,0,0,0,2,1,3,1,1,杭州
1,2,3,1,1,1,1,1,1,0,1,4,1,3,1,1,3,1,1,1,1,1,1,4,4,杭州
0,1,3,1,2,1,1,1,3,0,1,2,1,1,1,1,3,0,0,0,2,1,3,1,1,杭州
1,3,3,3,3,2,1,2,2,0,1,2,0,1,1,0,2,0,0,0,2,1,2,2,2,杭州
0,4,2,4,1,4,3,2,1,1,1,1,0,1,1,1,2,0,1,0,3,1,1,2,3,杭州
0,2,2,1,3,3,1,2,3,0,4,1,0,3,0,1,3,0,0,1,1,4,4,3,4,杭州
0,2,1,4,3,1,1,2,3,1,1,4,0,3,1,1,3,0,0,1,2,1,3,3,3,杭州
0,3,3,4,4,1,1,1,0,2,2,3,1,3,0,0,3,1,1,1,1,4,4,2,2,杭州
0,4,2,1,1,4,1,4,3,1,1,3,0,3,1,1,2,1,1,0,1,2,1,3,3,杭州
0,3,4,1,2,3,4,1,2,0,4,4,0,3,0,1,2,0,1,1,2,1,2,4,3,杭州
0,2,2,3,2,1,1,1,2,0,2,4,1,2,0,1,3,1,0,1,1,2,2,3,3,杭州
1,2,1,4,4,4,1,2,3,0,3,1,1,3,0,0,3,0,1,0,1,2,1,3,4,杭州
0,2,1,2,2,3,4,1,1,1,1,3,1,2,1,1,3,1,0,0,1,1,1,2,2,杭州
1,1,3,3,4,2,1,1,3,0,1,3,0,0,1,0,2,1,1,0,3,3,3,3,3,杭州
1,2,3,4,1,2,1,1,3,1,2,3,1,3,0,1,2,1,0,1,1,2,2,2,2,杭州
1,1,1,4,3,1,1,1,2,1,3,3,0,2,1,0,3,0,0,0,3,1,2,2,2,杭州
0,3,4,1,1,4,1,2,1,1,1,2,1,3,1,0,2,0,0,0,2,1,1,2,2,杭州
1,3,3,3,1,1,1,1,1,1,1,4,1,3,1,1,3,1,1,1,3,2,1,4,4,杭州
0,2,2,2,2,2,2,2,2,0,1,4,0,1,0,1,3,0,0,1,3,1,1,4,4,杭州
1,1,3,3,2,3,1,2,4,0,2,4,0,3,0,0,3,1,0,0,2,2,1,4,4,杭州
0,4,3,4,3,3,1,4,4,0,3,4,0,3,1,1,3,1,1,1,1,4,2,3,3,杭州
0,1,3,1,3,1,1,1,2,0,1,2,1,1,1,1,3,0,0,0,2,1,3,1,1,杭州
1,1,2,2,3,3,4,4,1,1,3,2,0,0,1,0,2,0,0,0,2,4,4,3,3,杭州
1,3,2,3,3,1,1,1,4,0,2,4,0,3,0,1,3,1,1,1,2,2,2,2,3,杭州
1,1,1,4,4,1,1,1,4,0,1,3,1,3,1,1,3,1,1,0,2,3,4,2,3,杭州
1,2,3,2,4,1,1,1,3,0,4,4,0,3,0,1,3,1,1,1,2,3,3,3,3,杭州
1,1,1,3,1,1,1,1,1,1,1,4,1,3,1,1,3,1,0,1,1,3,1,4,4,杭州
0,3,3,1,3,2,1,4,3,0,4,2,1,3,1,1,3,1,1,1,1,3,2,3,3,杭州
